DISTRICTWISE Ground water Level (in m.) Report (<ALL AGENCIES> - <2012> to <2020>),,,,,,,,,,
,,2012,2013,2014,2015,2016,2017,2018,2019,2020
STATE,DISTRICT,Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m)
MIZORAM,SERCHHIP,-,-,-,-,-,-,-,-,-
ASSAM,DIBRUGARH,4.12,3.94,3.04,3.95,3.42,3.5,3.87,2.85,-
KARNATAKA,DHARWAD,12.63,10.74,10.1,11.28,10.96,8.31,9.91,3.91,-
MADHYA PRADESH,DEWAS,13.46,11.15,13.79,11.59,13.76,14.02,13.89,3.59,-
WEST BENGAL,PURULIYA,6.34,5.6,6.07,7.79,6.37,5.91,5.89,6.22,-
GUJARAT,MAHESANA,42.52,52.96,39.71,36.45,39.08,41.86,42.63,37.5,-
ANDHRA PRADESH,EAST GODAVARI,8.27,8.2,9.15,9.78,9.29,8.77,8.89,8.51,9.08
HARYANA,SONIPAT,9.95,9.91,10.61,11.21,12.53,12.17,12.3,12.31,-
JHARKHAND,JAMTARA,7.03,6.22,6.05,6.99,6.64,7.62,7.49,3.27,-
HARYANA,ROHTAK,3.8,3.74,3.56,4.41,4.58,3.11,3.1,4.07,-
UTTAR PRADESH,AGRA,9.93,13.92,13.16,20.45,20.57,25.59,30.1,29.97,30.31
NAGALAND,MOKOKCHUNG,5,8.34,4,4.21,2.62,-,-,-,-
UTTAR PRADESH,MORADABAD,10.1,8.49,10.21,11.06,11.45,12,10.85,13.5,18.43
MAHARASHTRA,SATARA,7.98,7.26,6.69,8.63,8.35,6.23,8.49,3.92,-
PUNJAB,RUPNAGAR,9.81,9.38,10.49,10.61,12.26,15.27,13.45,9.67,-
CHHATTISGARH,KABEERDHAM,5.41,7.42,6.41,8.63,11.04,9.48,7.07,3.19,-
DELHI,EAST,8.67,9.13,10.25,10.73,11.17,10.41,11.81,11.91,-
ASSAM,KAMRUP METROPOLITAN,4.85,3.24,3.85,3.93,3.62,3.33,3.15,2.64,-
WEST BENGAL,PURBA MEDINIPUR,13.96,13.37,13.78,12.56,12.41,14.63,11.3,6.28,-
WEST BENGAL,MALDAH,8.36,7.19,7.13,7.54,5.63,5.68,5.47,2.65,-
MADHYA PRADESH,INDORE,15.52,14.97,15.07,16.6,16.8,17.59,16.79,3.59,-
UTTAR PRADESH,MEERUT,10.21,10.2,11.27,11.36,12.67,13.41,12.46,16.74,20.38
JAMMU & KASHMIR,ANANTNAG,9.79,8.15,7.51,10.39,7.73,7.69,10.44,6.65,-
JHARKHAND,DEOGHAR,8.1,6.63,7.2,8.33,7.96,7.81,8.76,2.95,-
RAJASTHAN,KARAULI,13.75,12.41,14.4,15.47,15.51,16.74,15.88,14.93,-
BIHAR,PURBA CHAMPARAN,4.62,3.3,3.85,4.14,3.84,4.34,4.82,2.35,-
JHARKHAND,SARAIKELA-KHARSAWAN,7.82,7.19,6.67,7.39,8.01,6.99,7.29,2.9,-
KARNATAKA,RAICHUR,9.38,5.07,4.9,6.05,7.06,5.53,6.88,4.25,-
MADHYA PRADESH,ANUPPUR,7.53,6.87,6.86,8.33,7.32,7.65,8.3,4.09,-
ODISHA,JAJAPUR,6.71,5.52,5.08,5.56,4.82,4.77,3.77,2.31,-
GUJARAT,THE DANGS,6.22,6.34,9.18,6.4,6.45,6.15,6.22,1.31,-
MAHARASHTRA,AMRAVATI,10.6,9.41,8.71,11.64,10.28,11.42,12.49,7.12,-
KERALA,IDUKKI,6.01,5.9,5.22,6.01,6,6.01,4.6,1.48,-
UTTARAKHAND,BAGESHWAR,31.36,34.24,28.03,20.78,20.42,35.19,33.3,27.17,-
UTTARAKHAND,RUDRAPRAYAG,15.53,12.25,15.36,15.29,13.36,18.44,15.44,15.16,-
ASSAM,BAKSA,3.4,3.16,2.43,4.01,3.83,3.24,2.89,3.2,-
RAJASTHAN,BIKANER,46.92,45.26,45.73,39.03,40.84,41.17,44.6,40.38,-
JHARKHAND,GIRIDIH,8.09,6.64,7.28,8.43,9.44,9.12,9.26,3.18,-
TELANGANA,MAHBUBNAGAR,6.91,5.19,10.37,12.18,10.47,12.91,14.93,9.99,-
UTTARAKHAND,NAINITAL,23.42,24.46,18.66,12.45,13.08,24.55,29.45,26.03,-
UTTAR PRADESH,LUCKNOW,10.84,11.36,11.71,13.83,14.67,14.39,13.85,12.94,15.26
DELHI,WEST,11.29,11.75,13.11,14.22,12.96,14.54,13.4,11.98,-
MEGHALAYA,RI BHOI,2.25,3.13,1.38,2.21,1.64,2.41,2.75,1.7,-
MAHARASHTRA,GONDIYA,8.03,6.46,7.6,8.64,8.49,9.07,8.67,5.28,-
MAHARASHTRA,JALNA,11.3,8.41,11.52,13.43,10.09,9.75,12.81,6.74,-
TAMILNADU,COIMBATORE,11.38,17.58,9.66,12.81,17.68,20.56,16.27,10,-
PUNJAB,MANSA,11.27,11.21,11.71,12.33,13.77,14.16,14.3,16.71,-
ASSAM,KOKRAJHAR,7.58,7.78,7.05,8.75,6.11,8.08,7.5,7.5,-
BIHAR,VAISHALI,5.8,6.38,5.88,6.94,7.01,6.97,7.64,3.43,-
MADHYA PRADESH,VIDISHA,11.27,9.58,10.16,10.98,10.71,10.85,11.16,3.57,-
HARYANA,FATEHABAD,22.15,23.26,19.38,11.44,19.76,21.13,23,8.03,-
JHARKHAND,SAHIBGANJ,7.69,6.1,6.18,7.69,7.21,6.56,6.56,3.06,-
HIMACHAL PRADESH,UNA,7,5.55,5.88,6.77,7.05,6.49,5.73,4.41,-
MADHYA PRADESH,CHHATARPUR,9.62,6.74,9.24,11.2,9.92,10.92,10.03,4.16,-
KARNATAKA,BAGALKOT,14.93,10.44,8.73,8.85,8.67,8.63,10.02,3.68,-
NAGALAND,KIPHIRE,5.29,8.83,4.27,5.17,2.81,-,-,-,-
ASSAM,KAMRUP,3.72,3.56,3.61,4.24,3.77,3.66,3.33,2.3,-
HARYANA,GURGAON,23.42,23.01,23.93,24.13,22.79,26.08,27.46,25.35,-
MADHYA PRADESH,SHAHDOL,8.51,7.97,8.62,9.82,8.76,9.47,8.67,4.1,-
ASSAM,DIMA HASAO,4.02,3.97,5.88,6,5.71,4.78,5.87,3.27,-
BIHAR,JEHANABAD,5.18,5.82,5.43,5.57,4.92,5.33,5.79,3.38,-
TAMILNADU,SIVAGANGA,6.37,7.62,6.98,10.07,9.26,10.27,10.4,7.69,-
UTTAR PRADESH,FATEHPUR,9.69,9.12,9.2,9.52,10.13,9.7,12.64,15.01,22.49
HARYANA,PANIPAT,12.44,13.77,20.98,15.7,17.33,18.99,17.75,17.47,-
UTTAR PRADESH,HARDOI,6.28,6.51,6.61,9.15,7.26,6.87,8.09,15.44,28.72
WEST BENGAL,PASHCHIM MEDINIPUR,11.26,10.25,10.01,10.11,9.28,9.79,8.33,6.21,-
DAMAN & DIU,DAMAN,5.34,6.03,9.34,7.34,6.57,6.72,5.99,2.17,-
ODISHA,JHARSUGUDA,5.26,5.14,5.13,5.46,5.86,5.43,5.1,2.25,-
BIHAR,SHEIKHPURA,7.1,5.47,4.19,6.47,6.01,6.31,7.68,3.91,-
BIHAR,NAWADA,7.43,5.2,6.14,6.43,5.96,6.51,7.43,4.61,-
PUNJAB,FIROZPUR,7.39,7.89,7.95,7.07,7.79,9.23,9.71,8.69,-
BIHAR,ARWAL,5.17,5,5.23,5.76,5.61,5.34,5.03,2.69,-
HIMACHAL PRADESH,SHIMLA,10.18,9.04,9.4,10.4,9.92,10.11,10.88,7.99,-
DELHI,SOUTH WEST,21.27,22.4,21.01,21.74,23.02,22.69,22.15,19.95,-
MADHYA PRADESH,SINGRAULI,10.96,9.15,9.97,11.41,10.4,10.83,10.3,4.1,-
BIHAR,ARARIA,3.97,3.67,4.23,3.78,3.8,3.6,3.33,2.32,-
BIHAR,PURNIA,4.72,4.33,4.91,4.62,4.25,4.44,3.85,2.6,-
ASSAM,KARIMGANJ,1.53,2.26,2.02,1.77,1.81,0.98,1.6,0.87,-
KARNATAKA,MANDYA,9.61,7.63,5.58,7.9,8.37,6.18,7.43,5.77,-
PUNJAB,LUDHIANA,17.11,16.37,17.07,18.35,20.61,19.35,19.49,20.03,-
RAJASTHAN,BARAN,7.51,6.94,5.69,7.55,7.28,6.49,9.08,3.4,-
HARYANA,PANCHKULA,21.48,22.33,11.95,11.52,8.33,12.75,14.56,8.45,-
RAJASTHAN,DAUSA,25.41,20.82,29.98,27.86,30.93,28.48,29.88,23.96,-
