DISTRICTWISE Ground water Level (in m.) Report (<ALL AGENCIES> - <2012> to <2020>),,,,,,,,,,
,,2012,2013,2014,2015,2016,2017,2018,2019,2020
STATE,DISTRICT,Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m)
ASSAM,GOALPARA,4.99,4.5,4.95,5.38,4.97,5.09,4.13,3.39,-
GUJARAT,AHMADABAD,18.8,16.65,17.47,20.09,17.08,19.73,18.59,13.69,-
MANIPUR,THOUBAL,-,-,-,-,-,-,-,-,-
KARNATAKA,GULBARGA,14.04,7.45,7.63,11.41,8.46,7.55,8.96,3.99,-
TELANGANA,MEDAK,7.59,5.38,6.52,19.14,15.31,17.74,21.95,16.8,-
MAHARASHTRA,WASHIM,8.11,6.64,8.25,9.68,11.41,11.34,11.47,4.82,-
UTTARAKHAND,HARDWAR,8.72,9.73,9.57,8.55,8.78,8.87,12.27,12.39,-
CHANDIGARH,CHANDIGARH,23.12,20.82,17.81,15.72,26.4,31.75,21.28,15.02,-
JHARKHAND,GARHWA,7.47,8.08,4.76,7.36,8.6,8.37,8.92,3.74,-
BIHAR,BANKA,6.24,5.08,5.94,5.81,6.77,6.5,6.73,2.32,-
CHHATTISGARH,KORBA,5.36,6.98,11.53,8.17,8.61,8.7,8.72,3.48,-
WEST BENGAL,HUGLI,11.86,11.2,11.61,10.55,10.8,10.89,11.31,6.56,-
TAMILNADU,THE NILGIRIS,5.23,5.96,9.69,13.05,4.83,4.23,5.86,3.7,-
KERALA,PALAKKAD,9.1,8.55,7.44,8.14,10.06,9.55,8.25,1.88,-
JHARKHAND,RANCHI,7.07,6.55,6.69,7.86,8.39,10.08,7.84,2.82,-
ANDAMAN & NICOBAR,NICOBAR,3.99,4.86,4.16,5.43,4.56,2.93,4.4,3.91,-
CHHATTISGARH,RAIGARH,5.22,6.96,9.87,7.97,8.85,8.45,6.71,3.4,-
ANDHRA PRADESH,Y.S.R.,18.82,16.47,22.81,14.42,22.16,16.88,27.62,19.6,22.93
TELANGANA,KARIMNAGAR,3.88,3.36,9.38,12.07,9.18,10.93,11.63,7.05,-
JHARKHAND,HAZARIBAGH,8.86,7.9,5.04,8.33,8.63,8.28,9.01,4.49,-
MADHYA PRADESH,ALIRAJPUR,9.12,8.23,7.77,8.43,7.87,8.5,9.56,3.6,-
KARNATAKA,HAVERI,16.46,11.79,10.43,10.76,12.45,12.81,12.3,4.37,-
ASSAM,DHEMAJI,3.31,3.74,3.37,3.49,3.52,3.74,3.64,2.61,-
KARNATAKA,BIJAPUR,13.79,8.26,7.84,8.35,8.7,7.61,9.19,3.76,-
UTTAR PRADESH,MAHOBA,6.1,4.32,5.28,7.95,5.56,9.01,8,22.89,19.59
ARUNACHAL PRADESH,EAST KAMENG,5.11,6.83,7.39,7.5,7.87,7.33,6.32,5.45,-
MIZORAM,SAIHA,-,-,-,-,-,-,-,-,-
DELHI,NORTH WEST,7.32,6.68,7.65,8.57,8.4,9.73,8.26,8.09,-
RAJASTHAN,BHILWARA,12.58,11.94,10.66,12.44,11.51,13.18,12.6,3.97,-
UTTAR PRADESH,KANNAUJ,9.23,10.77,9.58,11.37,11.7,9.22,14.26,20.42,19.07
MIZORAM,LAWANGTLAI,-,-,-,-,-,-,-,-,-
RAJASTHAN,TONK,8.42,7.94,6.9,8.83,8.43,7.41,12.53,5.91,-
KARNATAKA,CHIKKABALLAPURA,23.41,16.52,21.57,6.12,7.49,19.04,15.61,4.95,-
MADHYA PRADESH,PANNA,9.64,7.99,8.88,8.24,9.84,10.81,10.06,4.11,-
UTTAR PRADESH,KAUSHAMBI,12.83,11.35,11.86,13.18,11.79,10.17,13.9,10.3,14.25
ASSAM,BARPETA,3.82,3.46,3.19,4.63,4.02,3.32,2.99,2.9,-
ARUNACHAL PRADESH,LOWER SUBANSIRI,5.07,6.83,7.44,7.31,8,7.51,5.67,5.49,-
MADHYA PRADESH,KATNI,9.92,8.5,9.72,9.11,10.52,10.79,9.92,4.09,-
ODISHA,BALESHWAR,7.02,5.58,5.48,5.17,4.19,3.66,4.35,1.91,-
TELANGANA,HYDERABAD,4.82,4.73,4.55,3.79,4.37,8.2,10.9,11.13,-
ODISHA,NABARANGAPUR,5.48,5.37,3.92,6.27,6.04,5.67,5.29,2.8,-
GUJARAT,KACHCHH,12.71,15.88,13.63,12.18,12.63,17.92,13.39,9.45,-
KARNATAKA,DAKSHINA KANNADA,8.97,7.8,7.13,8.11,7.94,8.22,9.06,5.41,-
HARYANA,MEWAT,10.69,11.48,9.95,6.96,7.08,10.48,10.56,7.89,-
ARUNACHAL PRADESH,UPPER SUBANSIRI,4.96,6.84,7.49,7.07,8.09,7.78,5.1,5.57,-
HARYANA,KAITHAL,20.55,20.37,25.11,24.71,26.19,26.08,26.92,27.86,-
JHARKHAND,DUMKA,6.99,6.8,6.83,7.27,6.72,6.52,6.75,3.21,-
BIHAR,GAYA,7.49,8.99,5.96,7.6,6.95,6.97,6.83,3.74,-
MANIPUR,CHURACHANDPUR,-,-,-,-,-,-,-,-,-
CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,5.43,6.79,6.44,7.4,9.48,8.19,4.81,3.71,-
BIHAR,PASHCHIM CHAMPARAN,4.45,3.67,3.73,3.78,3.86,4.03,4.55,2.49,-
GUJARAT,JAMNAGAR,13.48,10.69,8.93,13.4,13.31,11.25,11.68,3.09,-
UTTAR PRADESH,KANPUR NAGAR,7.65,8.12,7.81,10.4,8.58,8.7,15.15,25.72,22.14
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,4.05,6.35,6.31,6.12,7.03,7.38,5.3,4.46,-
MADHYA PRADESH,NARSIMHAPUR,10.57,11.09,11.32,8.84,9.22,9.85,9.28,4.71,-
MAHARASHTRA,LATUR,10.86,9.44,12.72,14.87,10.92,11.86,14.76,3.7,-
WEST BENGAL,JALPAIGURI,4.75,4.36,3.8,4.54,4.96,3.48,3.63,2.27,-
PUNJAB,MOGA,22.44,22.05,20.9,23.36,25.07,24.29,25.55,27.82,-
MADHYA PRADESH,GUNA,11.14,9.79,10.15,9.1,9.33,11.43,15.15,3.53,-
ODISHA,DEBAGARH,5.79,5.12,5.97,6.86,7.02,5.91,5.26,2.18,-
ARUNACHAL PRADESH,KURUNG KUMEY,5.05,6.68,7.48,7.1,8.02,7.54,5.25,5.5,-
MADHYA PRADESH,DINDORI,5.92,5.69,5.59,7.06,6.13,6.39,6.24,4.07,-
MADHYA PRADESH,RATLAM,21.43,13.68,19.25,25.84,17.98,17.09,20.27,3.59,-
BIHAR,MADHUBANI,4.21,3.93,3.36,4.31,3.06,3.39,3.9,2.13,-
DELHI,SOUTH,37.26,34.92,35.36,36.15,42.19,37.93,36.19,34.17,-
GUJARAT,KHEDA,13.25,12.21,12.97,12.74,12.82,12.38,13.87,8.11,-
TAMILNADU,ARIYALUR,7.29,5.37,14.14,10.02,8.06,8.07,9.47,3.84,-
ODISHA,KENDUJHAR,7.32,5.92,5.98,6.04,6.24,5.71,4.66,2.94,-
PONDICHERRY,KARAIKAL,4.74,15.23,14.42,2.44,5.11,2.48,2.96,2.03,-
MADHYA PRADESH,DHAR,12.78,11.97,12.57,13.29,12.43,12.37,13.78,3.6,-
KERALA,KANNUR,7.76,8.03,7.92,8.44,8.74,8.01,8.5,1.9,-
TAMILNADU,TIRUNELVELI,7.29,7.65,8.55,11.98,9.81,6.35,5.47,3.67,-
UTTAR PRADESH,SULTANPUR,6.83,6.37,6.19,7.55,7.29,7.49,6.57,10.63,10.99
MIZORAM,AIZAWL,-,-,-,-,-,-,-,-,-
TAMILNADU,CHENNAI,5.76,5.83,11.36,10.5,6.07,6.12,5.38,5.43,-
MAHARASHTRA,AHMADNAGAR,9.9,8.82,9.94,14.3,10.23,9.92,13.57,7.32,-
UTTARAKHAND,GARHWAL,12.85,10.86,10.13,10.95,9.78,19.83,21.68,20.22,-
TRIPURA,WEST TRIPURA,5.77,12.6,6.86,7.06,3.69,6.18,7.96,6.7,-
Ladakh,KARGIL,7.25,6.53,4.9,7.39,4.84,6.65,8.58,3.18,-
HIMACHAL PRADESH,CHAMBA,6.08,5.2,3.73,5.47,4.94,5.47,4.85,3.93,-
BIHAR,ROHTAS,7.15,7.13,7.11,8.3,7.52,8.56,8.2,4.63,-
KERALA,KOTTAYAM,6,4.94,5.09,5.67,5.62,5.09,4.82,1.66,-
JAMMU & KASHMIR,DODA,3.62,2.8,2.66,4.12,3.13,4.99,3.68,1.18,-
ANDHRA PRADESH,CHITTOOR,15.01,16.7,23.37,10.84,21.8,14.44,23.97,21.46,25.57
RAJASTHAN,SIROHI,11.12,14.06,16.06,16.31,16.92,14.15,18.02,15.13,-
UTTAR PRADESH,AURAIYA,7.27,6.62,6.44,7.91,6.79,8.57,7.76,24.77,16.19
BIHAR,AURANGABAD,6.46,6.51,6.56,7.66,6.98,7.1,6.55,3.78,-
